id,amount,sku_external_id,supplier_article,warehouse_name,quantityFull,in_way_to_client,in_way_from_client,techSize,price,discount,warehouse_id,product_id,created_at,updated_at
1398,0,OZN1624253646,UVTRANAF00527INT,Краснодар,9,6,3,0,1390.00,73,2,87,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1387,16,OZN1552301557,AF00471INT,Электросталь,20,3,1,0,1320.00,75,3,7,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1378,0,OZN1412646379,AF00429INT,Атакент,0,0,0,0,1300.00,61,14,167,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1399,27,OZN814704238,TRANAF0090INT,Электросталь,37,9,1,0,1600.00,80,3,206,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1412,61,OZN1032558973,AF00266INT,Краснодар,63,2,0,0,1320.00,75,2,209,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1403,3,OZN885692012,TRANAF00169INT,Коледино,20,15,2,0,1347.00,74,5,197,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1372,0,OZN1052867152,TRANAF00283INT,Пушкино,0,0,0,0,1600.00,80,27,48,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1426,0,OZN1052512110,TRANAF00282INT,Коледино,16,16,0,0,1390.00,73,5,279,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1400,0,OZN824922658,AF00113INT,Коледино,64,61,3,0,1335.00,70,5,21,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1402,56,OZN937329281,TRANAF00189INT,Краснодар,60,4,0,0,1320.00,75,2,67,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1425,0,OZN1600287277,AF00503INT,Коледино,0,0,0,0,1347.00,74,5,104,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1390,0,OZN1600299473,AF00514INT,Тула,0,0,0,0,1320.00,64,1,43,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1391,0,OZN1551961230,AF00478INT,Краснодар,13,9,4,0,1360.00,75,2,164,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1418,0,OZN1163638158,AF00334INT,Коледино,25,24,1,0,1347.00,74,5,231,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1380,0,OZN1420900751,AF00445INT,Коледино,33,7,26,0,1320.00,75,5,171,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1401,122,OZN852673291,TRANAF00144INT,Краснодар,122,0,0,0,1320.00,75,2,9,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1376,0,OZN1411233455,UVTRANAF00424INT,Коледино,9,7,2,0,1360.00,75,5,264,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1421,56,OZN1420869929,AF00442INT,Краснодар,57,1,0,0,1320.00,75,2,68,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1424,14,OZN1600283297,AF00495INT,Краснодар,35,17,4,0,1347.00,74,2,154,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1386,70,OZN1052880484,AF00284INT,Краснодар,70,0,0,0,1347.00,74,2,65,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1392,0,OZN1557506832,AF00493INT,Краснодар,16,11,5,0,1360.00,75,2,151,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1375,0,OZN1403724758,AF00416INT,Минск,0,0,0,0,1390.00,73,24,85,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:04.000000Z
1379,0,OZN1420884610,AF00443INT,Электросталь,6,4,2,0,1600.00,80,3,89,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:05.000000Z
1368,25,OZN895370082,AF00186INT,Коледино,37,12,0,0,1600.00,80,5,81,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
1397,0,OZN1600288950,UVTRANAF00486INT,Краснодар,1,1,0,0,1335.00,70,2,40,2024-07-27T18:47:32.000000Z,2024-07-28T20:01:06.000000Z
